,date,text,user
0,11/3/16 23:08,Eey que onda esta banda?,Rama cl
1,12/3/16 02:33,No hay nadie en el peishe cats,Riti Cell
2,12/3/16 03:20,Tengo fiesta con minas y barra libre,Pelado Ale
3,12/3/16 03:20,Alguno está?,Pelado Ale
4,12/3/16 15:04,<Multimedia omitido>,Moda Cl
5,12/3/16 15:11,Vamoooo,Uba Cl
6,12/3/16 15:22,Buena!,dona Cel
7,12/3/16 16:56,Hoy sí?,Uba Cl
8,12/3/16 17:16,Alguno ta para un doasa?,Uba Cl
9,12/3/16 17:23,Yo no pue,Moda Cl
10,12/3/16 17:41,Yo no quie,Fede Sharley
11,12/3/16 17:43,Yo no se,Sebi Cell
12,12/3/16 17:49,In,Iña Cell
13,12/3/16 17:51,In,Pon Cl
14,12/3/16 17:53,<Multimedia omitido>,Shafal
15,12/3/16 17:53,<Multimedia omitido>,Shafal
16,12/3/16 18:03,#shafal250,Moda Cl
17,12/3/16 18:07,Cómo va la shafa 250,Fede Sharley
18,12/3/16 18:08,Motocho a pleno,Fede Sharley
19,12/3/16 18:57,"Tonces somos Nico, Iña y el lobo? En media compró la nerca",Uba Cl
20,12/3/16 19:01,quintaa duraaa,Lobo cl
21,12/3/16 19:01,Menos mal que vivo en mx,Oguitoo
22,12/3/16 19:01,Bien lejos de esa shunta,Oguitoo
23,12/3/16 19:01,A,Oguitoo
24,12/3/16 19:01,Tarquilo wolfe,Oguitoo
25,12/3/16 19:01,Te vi,Oguitoo
26,12/3/16 19:02,ahhhh si eeeeee,Lobo cl
27,12/3/16 21:16,<Multimedia omitido>,Oguitoo
28,12/3/16 21:19,In,Moda Cl
29,12/3/16 21:50,<Multimedia omitido>,Sebi Cell
30,12/3/16 22:30,Que onda esta banda?,Rama cl
31,12/3/16 22:32,Cumple de meo smache en monte,Sebi Cell
32,12/3/16 22:32,Leo,Sebi Cell
33,12/3/16 22:34,Uuh bien ahi,Rama cl
34,12/3/16 22:34,que olfaaatoo rammaaaa,Lobo cl
35,12/3/16 22:40,<Multimedia omitido>,Sebi Cell
36,12/3/16 22:42,Vuela el peishe hoy explota,Pelado Ale
37,12/3/16 22:42,Dos cumples de naims,Pelado Ale
38,13/3/16 00:38,<Multimedia omitido>,Iña Cell
39,13/3/16 00:40,Quinta dura le dicen a eso?,Rama cl
40,13/3/16 00:41,Clásica,Moda Cl
41,13/3/16 01:04,Es dura e,Sebi Cell
42,13/3/16 14:19,loco alguno ta para adoptar un gato,Lobo cl
43,13/3/16 14:19,pela? vos que querias la otra vez,Lobo cl
44,13/3/16 14:20,?,Lobo cl
45,13/3/16 14:41,Jaaaa,Rama cl
46,13/3/16 15:20,A verlo,Sebi Cell
47,13/3/16 17:15,<Multimedia omitido>,Moda Cl
48,13/3/16 17:33,Como manobultea,Uba Cl
49,13/3/16 18:04,Jajajaja,URI
50,13/3/16 18:04,Cucuuuuu,URI
51,13/3/16 19:49,Monos,Oguitoo
52,13/3/16 19:49,Saben quien pasa a river?,Oguitoo
53,13/3/16 19:50,telefe,Lobo cl
54,13/3/16 19:51,Gracias,Oguitoo
55,13/3/16 19:52,para servirte,Lobo cl
56,13/3/16 19:52,ah,Lobo cl
57,13/3/16 21:22,🅱,Pon Cl
58,13/3/16 21:22,🅱,Moda Cl
59,13/3/16 21:23,<Multimedia omitido>,Iña Cell
60,13/3/16 21:24,Vuela el fish?,Moda Cl
61,13/3/16 21:34,Se,Iña Cell
62,13/3/16 21:35,<Multimedia omitido>,Iña Cell
63,13/3/16 21:45,<Multimedia omitido>,Pon Cl
64,13/3/16 21:45,Ah,Pon Cl
65,13/3/16 21:45,Meeeenosss,Rama cl
66,13/3/16 21:45,Jajajaaaa,Sebi Cell
67,13/3/16 21:45,ajahajajahaja,Lobo cl
68,13/3/16 21:46,Que malvado,Sebi Cell
69,13/3/16 21:48,Jajaja,Uba Cl
70,13/3/16 21:50,Buena banca ahí iña,Rama cl
71,13/3/16 21:54,🅱,Uba Cl
72,13/3/16 21:54,🅱,Sebi Cell
73,13/3/16 21:55,🅱,Pon Cl
74,13/3/16 21:56,Uooo,Sebi Cell
75,13/3/16 21:56,que tristeza tienen muchachos,Lobo cl
76,13/3/16 22:05,Es una fiestaa,Sebi Cell
77,13/3/16 22:09,Ay barovergo,Uba Cl
78,13/3/16 22:13,barovergo es el mismo que atajo el penal a giglioti?,Lobo cl
79,13/3/16 22:14,Jajaja las galli se ponen como lo al toke,Sebi Cell
80,13/3/16 22:15,Que onda el ccumple.de leo?,Rama cl
81,13/3/16 22:15,Taba la.sis?,Rama cl
82,13/3/16 22:16,🅱,Pon Cl
83,13/3/16 22:18,Estaba. De otro planeta realmente. Cosa seria real. Grave.,Sebi Cell
84,13/3/16 22:18,Menosh,Moda Cl
85,13/3/16 22:18,No vengas ahora vos,Sebi Cell
86,13/3/16 22:19,Sos el peor,Sebi Cell
87,13/3/16 22:19,Ah,Sebi Cell
88,13/3/16 22:19,hubo nerpen?,Lobo cl
89,13/3/16 22:19,Y la moder...,Sebi Cell
90,13/3/16 22:19,Es un Ángel endemoniado,Moda Cl
91,13/3/16 22:19,esa milffffff,Lobo cl
92,13/3/16 22:19,Ay Dios q familia,Sebi Cell
93,13/3/16 22:20,Listo pa destruirla,Sebi Cell
94,13/3/16 22:20,Ay dios,Rama cl
95,13/3/16 22:20,Foto o ban,Rama cl
96,13/3/16 22:20,Ah,Rama cl
97,13/3/16 22:24,kici con navarro,Lobo cl
98,13/3/16 22:30,Me acaba de llamar leo para ver si llegamos bien. Un poco más de respeto por la flia smachetti che,Moda Cl
99,13/3/16 23:01,Mife tas picu?,Fede Sharley
100,13/3/16 23:02,Ta pi,Moda Cl
101,13/3/16 23:02,ooooobviooo,Lobo cl
102,13/3/16 23:04,Jaja picuso esta el que puso al mamarracho este de ministro,Rama cl
103,13/3/16 23:06,Bien mifw,Sebi Cell
104,13/3/16 23:07,Es chistosisimo,Rama cl
105,13/3/16 23:07,loco pongan fox sport,Lobo cl
106,13/3/16 23:07,es un expectaculo carusso,Lobo cl
107,13/3/16 23:07,Hermoso caruso,Sebi Cell
108,13/3/16 23:38,<Multimedia omitido>,Fede Sharley
109,13/3/16 23:38,El chano o el lobo?,Fede Sharley
110,13/3/16 23:45,sacandole lo macrista,Lobo cl
111,13/3/16 23:45,ojala fuera chano amigo,Lobo cl
112,14/3/16 09:58,<Multimedia omitido>,Pon Cl
113,14/3/16 10:05,👻,Sebi Cell
114,14/3/16 10:08,<Multimedia omitido>,Pon Cl
115,14/3/16 10:11,Jajaja tas como loca eh,Rama cl
116,14/3/16 10:50,<Multimedia omitido>,Lobo cl
117,14/3/16 14:04,<Multimedia omitido>,Pon Cl
118,14/3/16 14:12,"nico vos hincha del club que abandono, que tiro gas? que subio por decreto? que quedo arafue 2 veces seguidas?",Lobo cl
119,14/3/16 14:12,porque te veo con la moral muy alta,Lobo cl
120,14/3/16 14:13,Hay algo Lobi que no lo podes entender pq no lo viviste ni lo vas a vivir. Que tu máximo rival se vaya a la B,Pon Cl
121,14/3/16 14:14,Eso no se borra más.,Pon Cl
122,14/3/16 14:15,<Multimedia omitido>,Pon Cl
123,14/3/16 14:15,<Multimedia omitido>,Pon Cl
124,14/3/16 14:15,<Multimedia omitido>,Pon Cl
125,14/3/16 14:15,<Multimedia omitido>,Pon Cl
126,14/3/16 14:15,<Multimedia omitido>,Pon Cl
127,14/3/16 14:15,<Multimedia omitido>,Pon Cl
128,14/3/16 14:15,<Multimedia omitido>,Pon Cl
129,14/3/16 14:15,<Multimedia omitido>,Pon Cl
130,14/3/16 14:15,<Multimedia omitido>,Pon Cl
131,14/3/16 14:23,Che 14 30 sale ?,Sebi Cell
132,14/3/16 14:51,el. Christian de lugano de Ivana Nadal no tiene desperdicio,Joaquin
133,14/3/16 14:54,pasalloo,Lobo cl
134,14/3/16 14:58,https://youtu.be/iBdEQrVV5DY,Joaquin
135,14/3/16 15:03,Jajajaja me estalle,Sebi Cell
136,14/3/16 15:03,"""Nada en porongnnn'",Sebi Cell
137,14/3/16 18:17,<Multimedia omitido>,Shafal
138,14/3/16 18:17,La coquita sarli,dona Cel
139,14/3/16 19:07,Que belleza esta piba loco,Sebi Cell
140,14/3/16 19:34,🙌🏻🙌🏻🙌🏻,Oguitoo
