,Unnamed: 0,fecha,prediccion_trx,canal,file_date,y_mobile,y_access,mes_año,model,perc_error,SLA,SLA_over
24,16,2021-02-10 00:00:00,408426,MB,2021-02-08 13:32:24,403532.0,893742.0,20212,MB_3,-0.01212791054984487,True,True
25,15,2021-02-09 00:00:00,425862,MB,2021-02-08 13:32:24,390848.0,833998.0,20212,MB_3,-0.08958469788766989,True,True
31,18,2021-02-12 00:00:00,413334,MB,2021-02-08 13:32:24,249956.0,660765.0,20212,MB_3,-0.6536270383587511,False,True
32,17,2021-02-11 00:00:00,425240,MB,2021-02-08 13:32:24,353317.0,772512.0,20212,MB_3,-0.20356507046080433,False,True
33,6,2021-02-12 00:00:00,794100,AB,2021-02-08 13:32:24,249956.0,660765.0,20212,AB_3,-0.20178883566774874,False,True
34,13,2021-02-07 00:00:00,247569,MB,2021-02-08 13:32:24,190527.0,98852.0,20212,MB_3,-0.2993906375474342,False,True
35,5,2021-02-11 00:00:00,858581,AB,2021-02-08 13:32:24,353317.0,772512.0,20212,AB_3,-0.11141445051986247,False,True
40,12,2021-02-06 00:00:00,292066,MB,2021-02-08 13:32:24,259010.0,138677.0,20212,MB_3,-0.1276244160457125,False,True
42,14,2021-02-08 00:00:00,416651,MB,2021-02-08 13:32:24,417466.0,1412665.0,20212,MB_3,0.0019522547944024185,True,True
43,4,2021-02-10 00:00:00,901349,AB,2021-02-08 13:32:24,403532.0,893742.0,20212,AB_3,-0.008511404857330191,True,True
44,3,2021-02-09 00:00:00,924934,AB,2021-02-08 13:32:24,390848.0,833998.0,20212,AB_3,-0.10903623270079785,False,True
45,2,2021-02-08 00:00:00,1228199,AB,2021-02-08 13:32:24,417466.0,1412665.0,20212,AB_3,0.13058014462027445,False,False
46,1,2021-02-07 00:00:00,307058,AB,2021-02-08 13:32:24,190527.0,98852.0,20212,AB_3,-2.1062396309634606,False,True
47,0,2021-02-06 00:00:00,318558,AB,2021-02-08 13:32:24,259010.0,138677.0,20212,AB_3,-1.2971220894596798,False,True
48,9,2021-01-12 00:00:00,350539,MB,2021-02-02 11:43:24,355435.0,792588.0,20211,MB_1b,0.01377467047420766,True,True
49,2,2021-01-13 00:00:00,768698,AB,2021-02-02 11:43:24,336080.0,747862.0,20211,AB_3,-0.02786075505908844,True,True
50,3,2021-01-14 00:00:00,717518,AB,2021-02-02 11:43:24,320848.0,680150.0,20211,AB_3,-0.05494082187752702,True,True
51,4,2021-01-15 00:00:00,730221,AB,2021-02-02 11:43:24,324089.0,687466.0,20211,AB_3,-0.06219216659442067,True,True
52,5,2021-01-18 00:00:00,999913,AB,2021-02-02 11:43:24,299904.0,1065222.0,20211,AB_3,0.06131022453535507,True,True
53,6,2021-01-19 00:00:00,711014,AB,2021-02-02 11:43:24,292965.0,604993.0,20211,AB_3,-0.17524334992305696,False,True
54,7,2021-01-20 00:00:00,688943,AB,2021-02-02 11:43:24,308139.0,640578.0,20211,AB_3,-0.07550212464368118,True,True
55,8,2021-01-11 00:00:00,343096,MB,2021-02-02 11:43:24,406651.0,1371285.0,20211,MB_1b,0.15628880784751545,False,False
56,0,2021-01-11 00:00:00,1080928,AB,2021-02-02 11:43:24,406651.0,1371285.0,20211,AB_3,0.21174081244963666,False,False
57,10,2021-01-13 00:00:00,339489,MB,2021-02-02 11:43:24,336080.0,747862.0,20211,MB_1b,-0.010143418233753868,True,True
58,11,2021-01-14 00:00:00,323641,MB,2021-02-02 11:43:24,320848.0,680150.0,20211,MB_1b,-0.008705056600009973,True,True
59,12,2021-01-15 00:00:00,338976,MB,2021-02-02 11:43:24,324089.0,687466.0,20211,MB_1b,-0.045934912940581135,True,True
60,13,2021-01-18 00:00:00,319275,MB,2021-02-02 11:43:24,299904.0,1065222.0,20211,MB_1b,-0.0645906690140845,True,True
61,14,2021-01-19 00:00:00,329461,MB,2021-02-02 11:43:24,292965.0,604993.0,20211,MB_1b,-0.1245746078883143,False,True
62,15,2021-01-20 00:00:00,317542,MB,2021-02-02 11:43:24,308139.0,640578.0,20211,MB_1b,-0.030515449196628793,True,True
63,1,2021-01-12 00:00:00,793335,AB,2021-02-02 11:43:24,355435.0,792588.0,20211,AB_3,-0.0009424820966252328,True,True
64,0,2021-01-23 00:00:00,6746,AB,2021-01-25 19:20:58,199666.0,84987.0,20211,AB_3,0.9206231541294551,False,False
65,17,2021-01-28 00:00:00,297427,MB,2021-01-25 19:20:58,301845.0,628990.0,20211,MB_1b,0.014636651261409001,True,True
66,1,2021-01-24 00:00:00,39686,AB,2021-01-25 19:20:58,141013.0,65592.0,20211,AB_3,0.39495670203683375,False,False
67,2,2021-01-25 00:00:00,953188,AB,2021-01-25 19:20:58,275212.0,801366.0,20211,AB_3,-0.189454007282565,False,True
68,19,2021-01-30 00:00:00,202429,MB,2021-01-25 19:20:58,277166.0,144059.0,20211,MB_1b,0.26964707070852845,False,False
69,20,2021-01-31 00:00:00,195747,MB,2021-01-25 19:20:58,209242.0,122521.0,20211,MB_1b,0.0644946999168427,True,True
70,21,2021-02-01 00:00:00,415552,MB,2021-01-25 19:20:58,468644.0,1425983.0,20212,MB_1b,0.11328855165114671,False,False
71,22,2021-02-02 00:00:00,371236,MB,2021-01-25 19:20:58,442724.0,902376.0,20212,MB_1b,0.1614730622238686,False,False
72,23,2021-02-03 00:00:00,358695,MB,2021-01-25 19:20:58,427108.0,975050.0,20212,MB_1b,0.16017728537044496,False,False
73,16,2021-01-27 00:00:00,300737,MB,2021-01-25 19:20:58,277224.0,617863.0,20211,MB_1b,-0.08481588895622312,True,True
74,15,2021-01-26 00:00:00,313827,MB,2021-01-25 19:20:58,280859.0,535291.0,20211,MB_1b,-0.11738274365428916,False,True
75,14,2021-01-25 00:00:00,306101,MB,2021-01-25 19:20:58,275212.0,801366.0,20211,MB_1b,-0.11223711175384794,False,True
76,13,2021-01-24 00:00:00,188911,MB,2021-01-25 19:20:58,141013.0,65592.0,20211,MB_1b,-0.33967081049264963,False,True
77,12,2021-01-23 00:00:00,209541,MB,2021-01-25 19:20:58,199666.0,84987.0,20211,MB_1b,-0.04945759418228442,True,True
